obsC	timeC	obsI	timeI
0	1979	0	1979
0	1980	0	1980
0	1981	0	1981
0	1982	0	1982
0	1983	0	1983
0	1984	0	1984
0	1985	0	1985
0	1986	0	1986
0	1987	0	1987
0	1988	0	1988
20	1989	0	1989
494	1990	0	1990
334	1991	0	1991
219	1992	0	1992
264	1993	0	1993
536	1994	0	1994
84	1995	0	1995
241	1996	0	1996
98	1997	0.188	1997
17	1998	0.203	1998
19	1999	0.117	1999
3	2000	0.195	2000
298	2001	0.218	2001
1713	2002	0.483	2002
1299	2003	0.423	2003
1619	2004	0.383	2004
1638	2005	0.286	2005
1077	2006	0.292	2006
1865	2007	0.473	2007
1985	2008	0.507	2008
3500	2009	0.714	2009
2940	2010	0.508	2010
3062	2011	0.652	2011
1859	2012	0.505	2012
3128	2013	0.842	2013
3145	2014	0.955	2014
4363	2015	0.783	2015
6241	2016	0.771	2016
3562	2017	0.508	2017
5035	2018	0.635	2018
1821	2019	0.371	2019
1889	2020	0.398	2020
1889	2021	0.254	2021
