Ano;Industrial hielero;Artesanal;Industrial fabrica;Aguas intern;Moteada;Industrial hielero;Artesanal;Industrial fabrica;Industrial;Delsur;Industrial hielero;Artesanal;Industrial fabrica;Agua Inter;Brotula
1979;0;0;0;0;0;0;0;0;0;0;0;2;309;;312
1980;0;0;0;0;0;0;0;0;0;0;0;;592;;592
1981;0;0;0;0;0;0;0;0;8077;8077;;;2120;;2120
1982;0;0;0;0;0;10;3;4196;4206;8415;6;;2098;;2104
1983;0;0;0;0;0;362;69;3315;3677;7423;1;18;5143;;5162
1984;0;0;0;0;0;130;72;2851;2981;6034;3;;2908;;2911
1985;0;0;0;0;0;295;59;2994;3289;6637;;1;3969;;3970
1986;0;0;0;0;0;261;136;1900;2161;4458;5;2;3718;;3725
1987;0;0;0;0;0;324;84;2015;2339;4762;;1;4563;;4564
1988;0;0;0;0;0;328;4;2602;2930;5864;35;;7762;;7797
1989;235;;380;0;20;767;1;1777;2544;5089;95;18;4282;;4395
1990;256;;238;0;494;1339;;1724;3063;6126;270;9;5123;;5402
1991;20;;314;0;334;141;15;1284;1425;2865;258;263;1826;20;2367
1992;;1;218;0;219;229;27;375;604;1235;85;32;4456;5;4578
1993;;;264;0;264;295;145;388;683;1511;69;;2805;34;2908
1994;;;536;0;536;300;62;728;1028;2118;27;1;1772;;1800
1995;;;84;0;84;333;14;494;827;1668;55;3;1768;;1826
1996;;;241;0;241;449;2;356;805;1612;5;;476;;481
1997;;;98;0;98;478;80;252;730;1540;30;;617;;647
1998;17;;;0;17;536;;370;906;1812;30;;322;;352
1999;14;;5;0;19;356;;1246;1602;3204;5;4;236;;245
2000;3;;;0;3;228;;919;1147;2294;25;11;336;;372
2001;3;;295;0;298;154;;1137;1291;2582;38;;599;;641
2002;3;;1710;0;1713;178;;204;382;764;;;332;;360
2003;3;;1296;0;1299;205;;387;592;1184;2;;1139;;1141
2004;18;;1583;0;1619;170;;457;627;1254;392;20;2443;;2855
2005;17;;1621;0;1638;175;;369;544;1088;760;1;2288;;3049
2006;24;;1053;0;1077;162;;526;688;1376;369;;1374;;1743
2007;596;;1269;0;1865;76;;343;419;838;2;;680;;681
2008;178;1;1806;0;1985;37;2;387;424;850;1;;697;;698
2009;394;;3106;0;3500;18;1;661;679;1359;5;;3351;;3356
2010;257;;2683;0;2940;13;21;297;310;641;4;;1396;;1400
2011;299;;2763;0;3062;14;36;260;274;584;5;;1086;;1091
2012;310;;1549;0;1859;37;37;436;473;983;2;;766;;768
2013;637;;2491;0;3128;29;6;113;142;290;6;;368;;374
2014;580;;2565;0;3145;12;3;187;199;401;37;;484;;522
2015;1843;;2519;0;4363;13;;241;2534;507;;;701;;703
2016;;;;0;6241;;;;;0;;;533;;536
2017;;;;0;3562;;;;;0;;;347;;348
2018;;;;;10;;;;;263;;;;;132
2019;;;;;2018;;;;;301;;;;;132
2020;;;;;1889;;;;;365;;;;;62
2021;;;;;1889;;;;;365;;;;;62
