"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"1",1997,"BETANZOS",296066,1045.22285333547,376,105.648434334088,295960.351565666,296171.648434334
"2",1997,"BOSTON BEVERLEY",686,470.933116270241,2,652.668006851838,33.3319931481623,1338.66800685184
"3",1997,"BOSTON BLEMHEIN",192,80.0749648766704,3,90.6116879110907,101.388312088909,282.611687911091
"4",1997,"COTE SAINT JACQUES",52,0,2,0,52,52
"5",1997,"FRIO SUR IX",310,12.104865871945,9,7.90836704890005,302.0916329511,317.9083670489
"6",1997,"FRIO SUR VI",18245,904.658160055289,35,299.708164364825,17945.2918356352,18544.7081643648
"7",1997,"FRIO SUR VII",7880,105.612336398821,92,21.5808639918438,7858.41913600816,7901.58086399184
"8",1997,"FRIO SUR VIII",3300,364.559044193525,14,190.964196610667,3109.03580338933,3490.96419661067
"9",1997,"UNZEN MARU",221380,1108.91396794915,431,104.6905086435,221275.309491356,221484.690508644
"10",1998,"BETANZOS",188865,729.275065627826,406,70.9375915313846,188794.062408469,188935.937591531
"11",1998,"BOSTON BEVERLEY",358,16.8179797967664,10,10.4237003314343,347.576299668566,368.423700331434
"12",1998,"BOSTON BLEMHEIN",737,32.7222041901034,17,15.5548626522904,721.44513734771,752.55486265229
"13",1998,"COTE SAINT JACQUES",4592,283.522104298291,19,127.48474338207,4464.51525661793,4719.48474338207
"14",1998,"FRIO SUR IX",9020,69.6779424205053,150,11.1505882450339,9008.84941175497,9031.15058824503
"15",1998,"FRIO SUR VI",150,15,4,14.6997298840504,135.30027011595,164.69972988405
"16",1998,"FRIO SUR VII",9235,127.182872679705,104,24.4433120169534,9210.55668798305,9259.44331201695
"17",1998,"FRIO SUR VIII",3880,95.6640117588402,58,24.6196958677216,3855.38030413228,3904.61969586772
"18",1998,"GUALAS",80,NA,1,NA,NA,NA
"19",1998,"JIN YANG 1",45,3.53553390593274,2,4.89990996135013,40.1000900386499,49.8999099613501
"20",1998,"UNION SUR",7700,1208.41953715495,9,789.486257012753,6910.51374298725,8489.48625701275
"21",1998,"UNZEN MARU",25115,140.648510917067,276,16.5931442440323,25098.406855756,25131.593144244
"22",1999,"BETANZOS",327228,1686.70300560775,309,188.064779934594,327039.935220065,327416.064779935
"23",1999,"BOSTON BEVERLEY",790,15.473199844244,22,6.46571987926518,783.534280120735,796.465719879265
"24",1999,"BOSTON BLEMHEIN",544,13.3495139915101,15,6.75566205573663,537.244337944263,550.755662055737
"25",1999,"COTE SAINT JACQUES",1463,15.1571046216888,40,4.69714907432162,1458.30285092568,1467.69714907432
"26",1999,"FRIO SUR IX",4746,39.9902868018653,83,8.60327021564712,4737.39672978435,4754.60327021565
"27",1999,"FRIO SUR VII",4590,48.8221705380185,82,10.5671591480504,4579.43284085195,4600.56715914805
"28",1999,"FRIO SUR VIII",3200,37.9267481922485,66,9.15001342991038,3190.84998657009,3209.15001342991
"29",1999,"FRIO SUR X",600,19.5401684183679,12,11.0556879118354,588.944312088165,611.055687911835
"30",1999,"GUALAS",90,NA,1,NA,NA,NA
"31",1999,"UNZEN MARU",152770,842.933357878088,473,75.9645136013691,152694.035486399,152845.964513601
"32",2000,"BETANZOS",221552,1183.33333024303,308,132.153853086546,221419.846146913,221684.153853087
"33",2000,"BOSTON BEVERLEY",496,38.8605565727365,7,28.7877741884583,467.212225811542,524.787774188458
"34",2000,"BOSTON BLEMHEIN",889,135.147861412767,9,88.2949803188778,800.705019681122,977.294980318878
"35",2000,"COTE SAINT JACQUES",3286,602.422630419065,13,327.474654743693,2958.52534525631,3613.47465474369
"36",2000,"FRIO SUR IX",2310,33.4988643545341,46,9.68053276989411,2300.31946723011,2319.68053276989
"37",2000,"FRIO SUR VII",22915,424.154936213308,104,81.5184563058487,22833.4815436941,22996.5184563059
"38",2000,"FRIO SUR VIII",3585,28.2931193442548,82,6.12381407075514,3578.87618592924,3591.12381407076
"39",2000,"FRIO SUR X",1225,63.5273891063269,16,31.1278486700657,1193.87215132993,1256.12784867007
"40",2000,"GUALAS",42,NA,1,NA,NA,NA
"41",2000,"JIN YANG 1",135,34.5976877840124,3,39.1502499284098,95.8497500715902,174.15024992841
"42",2000,"UNZEN MARU",55340,375.768092345646,419,35.9799851325106,55304.0200148675,55375.9799851325
"43",2001,"BETANZOS",316769,1515.49973600179,374,153.591844166696,316615.408155833,316922.591844167
"44",2001,"BOSTON BEVERLEY",114,1,4,0.979981992270027,113.02001800773,114.97998199227
"45",2001,"COTE SAINT JACQUES",168,1.09544511501033,6,0.876522540576581,167.123477459423,168.876522540577
"46",2001,"FRIO SUR IX",9972,64.3882899163676,130,11.0683607525773,9960.93163924742,9983.06836075258
"47",2001,"FRIO SUR VII",17086,102.117725067036,181,14.8768140550269,17071.123185945,17100.876814055
"48",2001,"FRIO SUR VIII",920,21.3053201493586,25,8.35153203436768,911.648467965632,928.351532034368
"49",2001,"FRIO SUR X",1090,58.9592272353571,21,25.216814653997,1064.783185346,1115.216814654
"50",2001,"UNZEN MARU",181553,653.793722229307,500,57.3064934421452,181495.693506558,181610.306493442
"51",2002,"BETANZOS",125140,591.582806033708,352,61.8005446143468,125078.199455386,125201.800544614
"52",2002,"BOSTON BEVERLEY",64,4.04145188432738,3,4.57324929726013,59.4267507027399,68.5732492972601
"53",2002,"BOSTON BLEMHEIN",38,NA,1,NA,NA,NA
