"","añoLance","f1","f2","cpue","cpuesd","cpuen","cpuee","cpuel","cpuer"
"1",1997,568.579875518672,3.00926694328942,188.942983867413,519.454429414838,964,32.7911786997657,156.151805167647,221.734162567179
"2",1998,236.53125,2.9618686868608,79.8587901784036,279.389893521474,1056,16.8510444458905,63.007745732513,96.7098346242941
"3",1999,449.701722574796,3.17648836506528,141.571972219566,577.942535027032,1103,34.1071156146888,107.464856604877,175.679087834255
"4",2000,309.300595238095,2.86509589945933,107.954709403083,282.554989442489,1008,17.4429849296928,90.5117244733899,125.397694332775
"5",2001,425.199033037873,2.78403169486946,152.727798976373,459.417086326613,1241,25.5604999071428,127.16729906923,178.288298883515
"6",2002,339.689300411523,2.57410836762449,131.963869386356,368.775948535471,972,23.1834223573971,108.780447028958,155.147291743753
"7",2003,670.37517831669,2.93212077982454,228.631502129597,636.244387008686,701,47.0991474569653,181.532354672632,275.730649586563
"8",2004,1281.13816425121,2.69835748792077,474.784445717899,1147.51834091084,1035,69.9097182378793,404.87472748002,544.694163955779
"9",2005,988.727074235808,2.77418122270961,356.403203273828,907.024246620659,916,58.7380129920025,297.665190281825,415.14121626583
"10",2006,1119.89030612245,2.92620464852381,382.710862921841,843.540925536382,1176,48.2114937963236,334.499369125517,430.922356718164
"11",2007,574.620867768595,2.96200068870351,193.997546982378,481.344749541723,968,30.3226149645687,163.674932017809,224.320161946947
"12",2008,737.393129770992,2.9626802375,248.893930717689,828.412665569641,786,57.9139981857387,190.979932531951,306.807928903428
"13",2009,1514.22968980798,2.35574839981167,642.780735807369,1280.62498731331,1354,68.2119916603116,574.568744147057,710.99272746768
"14",2010,1027.74834437086,2.68899006623096,382.206077024082,770.993684836894,1208,43.477588187609,338.728488836473,425.683665211691
"15",2011,1066.49108367627,2.97512574302606,358.469246611243,907.068018765269,729,65.8452091965937,292.62403741465,424.314455807837
"16",2012,829.420035149385,3.14619214996661,263.626630419947,494.093933630388,569,40.5977046354588,223.028925784488,304.224335055406
"17",2013,899.492366412214,2.94675572518702,305.248364743611,491.213767615103,262,59.4795913344844,245.768773409127,364.727956078096
"18",2014,1376.16847826087,3.13002717391848,439.666623257473,772.854048070626,368,78.9626414189635,360.70398183851,518.629264676437
"19",2015,864.408653846154,3.40395299146474,253.942594393524,557.542208630629,624,43.7455163739524,210.197078019571,297.688110767476
"20",2016,802.944871794872,3.4275427350359,234.262541379068,526.721435063393,780,36.9642400651139,197.298301313954,271.226781444182
"21",2017,597.304270462633,3.27090747329537,182.611179111362,377.534804525869,562,31.21310175611,151.398077355252,213.824280867472
"22",2018,303.876373626374,3.6038919413956,84.3189470072451,262.322139630614,364,26.9483602969562,57.3705867102888,111.267307304201
"23",2019,416.096354166667,4.08016493054688,101.980278064616,262.379546222541,384,26.2429380645126,75.7373400001038,128.223216129129
"24",2020,148.018518518519,4.46057098762037,33.1837603143905,109.36888323918,216,14.5852874603588,18.5984728540317,47.7690477747493
"25",2021,77.9166666666667,5.075694444375,15.3509372009215,17.7165758760847,24,7.08797633237749,8.26296086854399,22.438913533299
