"","añoLance","NOMBRE_BARCO","f1","f2","cpue2","cpue2sd","cpue2n","cpue2e","cpue2l","cpue2r"
"1",1997,"BETANZOS",787.409574468085,3.17216312055851,248.224805768957,513.639768462871,376,51.9173850597092,196.307420709248,300.142190828666
"2",1997,"BOSTON BEVERLEY",343,3.8333333335,89.4782608656749,80.8181456330064,2,112.006177109633,-22.5279162439578,201.484437975308
"3",1997,"BOSTON BLEMHEIN",64,3.54999999966667,18.0281690157773,24.2603732422144,3,27.4526922642531,-9.42452324847582,45.4808612800304
"4",1997,"COTE SAINT JACQUES",26,2.208333333,11.7735849074375,16.9310963318281,2,23.4648711567134,-11.6912862492758,35.2384560641509
"5",1997,"FRIO SUR IX",34.4444444444444,3.074074074,11.2048192773784,4.07271631558593,9,2.66079243259903,8.5440268447794,13.8656117099775
"6",1997,"FRIO SUR VI",521.285714285714,2.86904761908571,181.692946055679,363.703187193287,35,120.49282195241,61.2001241032692,302.185768008088
"7",1997,"FRIO SUR VII",85.6521739130435,2.7690217391087,30.9322865556894,38.8657764887888,92,7.94184718321709,22.9904393724723,38.8741337389065
"8",1997,"FRIO SUR VIII",235.714285714286,3.0535714285,77.192982457946,234.630056202428,14,122.904481172678,-45.7114987147316,200.097463630624
"9",1997,"UNZEN MARU",513.642691415313,2.92316318639907,175.714682575778,589.25129579352,431,55.6301206932706,120.084561882508,231.344803269049
"10",1998,"BETANZOS",465.184729064039,2.60032840723399,178.894607223425,411.256883928463,406,40.0035243512297,138.891082872195,218.898131574655
"11",1998,"BOSTON BEVERLEY",35.8,4.1416666667,8.64386317900488,3.29298026572089,10,2.04097281017076,6.60289036883412,10.6848359891756
"12",1998,"BOSTON BLEMHEIN",43.3529411764706,3.76470588235294,11.515625,14.9962073677827,17,7.12861348080191,4.38701151919809,18.6442384808019
"13",1998,"COTE SAINT JACQUES",241.684210526316,3.54561403510526,68.1642751109937,64.4624003292542,19,28.9852975806119,39.1789775303819,97.1495726916056
"14",1998,"FRIO SUR IX",60.1333333333333,2.94655555554,20.4080093518933,36.4181848894196,150,5.8280163022427,14.5799930496505,26.236025654136
"15",1998,"FRIO SUR VI",37.5,2.33333333325,16.0714285720025,10.4572339322221,4,10.2479009425327,5.82352762946984,26.3193295145353
"16",1998,"FRIO SUR VII",88.7980769230769,2.65224358971154,33.4803625381689,79.4143447532691,104,15.262665219983,18.2176973181859,48.743027758152
"17",1998,"FRIO SUR VIII",66.8965517241379,2.93247126436207,22.8123468888247,48.1884119820098,58,12.4015711397962,10.4107757490286,35.2139180286209
"18",1998,"GUALAS",80,3,26.6666666666667,NA,1,NA,NA,NA
"19",1998,"JIN YANG 1",22.5,1.7083333335,13.1707317060321,2.52538135925921,2,3.49993568373872,9.6707960222934,16.6706673897708
"20",1998,"UNION SUR",855.555555555556,2.02777777788889,421.917808196059,492.77860772688,9,321.942774498826,99.9750336972338,743.860582694885
"21",1998,"UNZEN MARU",90.9963768115942,3.54100241543116,25.6979143575406,59.9895910266822,276,7.07733008018253,18.620584277358,32.7752444377231
"22",1999,"BETANZOS",1058.99029126214,2.68408845740777,394.543737312177,982.305169996189,309,109.525509238886,285.018228073291,504.069246551062
"23",1999,"BOSTON BEVERLEY",35.9090909090909,3.96969696968182,9.04580152675208,5.04771463931329,22,2.10926694005098,6.93653458670111,11.1550684668031
"24",1999,"BOSTON BLEMHEIN",36.2666666666667,3.8166666666,9.50218340627951,2.73414326882111,15,1.38364197736857,8.11854142891094,10.8858253836481
"25",1999,"COTE SAINT JACQUES",36.575,3.67875000005,9.94223581366032,4.60545680601813,40,1.42721962493163,8.51501618872868,11.369455438592
"26",1999,"FRIO SUR IX",57.1807228915663,2.94879518072289,19.391215526047,20.0404939784662,83,4.31139155880601,15.079823967241,23.702607084853
"27",1999,"FRIO SUR VII",55.9756097560976,2.94776422759756,18.989174653808,15.4747272364219,82,3.34937803210945,15.6397966216986,22.3385526859175
"28",1999,"FRIO SUR VIII",48.4848484848485,3.29393939390909,14.7194112236865,15.9636659658849,66,3.85131246259345,10.868098761093,18.5707236862799
"29",1999,"FRIO SUR X",50,3.56944444441667,14.0077821012763,5.83952815436807,12,3.30396337660953,10.7038187246668,17.3117454778859
"30",1999,"GUALAS",90,3,30,NA,1,NA,NA,NA
"31",1999,"UNZEN MARU",322.980972515856,3.45211416490486,93.5603392840739,236.148660736786,473,21.2815378378692,72.2788014462046,114.841877121943
"32",2000,"BETANZOS",719.324675324675,2.78993506492532,257.828465030576,424.222302926982,308,47.3768552479922,210.451609782583,305.205320278568
"33",2000,"BOSTON BEVERLEY",70.8571428571429,4.34047619057143,16.3247394401245,28.697858868176,7,21.2592807116123,-4.93454127148776,37.5840201517368
"34",2000,"BOSTON BLEMHEIN",98.7777777777778,3.76851851855556,26.2113022110446,30.5828988433233,9,19.9804600919151,6.2308421191295,46.1917623029597
"35",2000,"COTE SAINT JACQUES",252.769230769231,4.41025641038462,57.313953486706,137.132518423179,13,74.5447163788065,-17.2307628921005,131.858669865512
"36",2000,"FRIO SUR IX",50.2173913043478,2.736231884,18.352754237677,20.397800096018,46,5.89457511673899,12.458179120938,24.2473293544159
"37",2000,"FRIO SUR VII",220.336538461538,2.86538461532692,76.8959731559107,150.412351525642,104,28.9077920798658,47.9881810760449,105.803765235776
"38",2000,"FRIO SUR VIII",43.719512195122,3.07235772352439,14.2299550147989,11.0515730114523,82,2.39202250865463,11.8379325061442,16.6219775234535
"39",2000,"FRIO SUR X",76.5625,2.7760416665625,27.5797373368698,38.7584746225747,16,18.991303588989,8.58843374788075,46.5710409258588
"40",2000,"GUALAS",42,0.333333333,126.000000126,NA,1,NA,NA,NA
"41",2000,"JIN YANG 1",45,2.111111111,21.3157894748061,133.671238632033,3,151.260466692301,-129.944677217494,172.576256167107
"42",2000,"UNZEN MARU",132.076372315036,2.81670644392363,46.8903575663552,151.840660933911,419,14.5388201771199,32.3515373892354,61.4291777434751
"43",2001,"BETANZOS",846.975935828877,2.76082887699465,306.783206625565,729.244838581072,374,73.9070136047711,232.876193020794,380.690220230336
"44",2001,"BOSTON BEVERLEY",28.5,3.28333333325,8.68020304590559,18.3203055836431,4,17.9535695648542,-9.27336651894863,26.6337726107598
"45",2001,"COTE SAINT JACQUES",28,3.638888889,7.69465648831467,0.6264135293562,6,0.501226004552187,7.19343048376248,8.19588249286685
"46",2001,"FRIO SUR IX",76.7076923076923,3.16833333333077,24.2107392870345,36.2466306362486,130,6.23080352760596,17.9799357594286,30.4415428146405
"47",2001,"FRIO SUR VII",94.3977900552486,3.31602209944751,28.4671776074642,31.8961543660215,181,4.64672668003754,23.8204509274266,33.1139042875017
"48",2001,"FRIO SUR VIII",36.8,2.81933333332,13.0527311421757,9.94675654596493,25,3.89905691861586,9.15367422355985,16.9517880607916
