,añoLance,cpue,cpuesd,cpuen,cpuee,cpuel,cpuer,
1,1997,233.7874729,519.4544294,964,32.7911787,200.9962943,266.5786516,0.233787473
2,1998,106.7306476,279.3898935,1056,16.85104445,89.87960312,123.581692,0.106730648
3,1999,188.9072056,577.942535,1103,34.10711561,154.8000899,223.0143212,0.188907206
4,2000,124.0802344,282.5549894,1008,17.44298493,106.6372494,141.5232193,0.124080234
5,2001,185.1496933,459.4170863,1241,25.56049991,159.5891934,210.7101932,0.185149693
6,2002,165.4208538,368.7759485,972,23.18342236,142.2374314,188.6042761,0.165420854
7,2003,277.847332,636.244387,701,47.09914746,230.7481845,324.9464795,0.277847332
8,2004,586.8464725,1147.518341,1035,69.90971824,516.9367542,656.7561907,0.586846472
9,2005,444.2496095,907.0242466,916,58.73801299,385.5115965,502.9876225,0.444249609
10,2006,486.2476316,843.5409255,1176,48.2114938,438.0361378,534.4591254,0.486247632
11,2007,240.7508603,481.3447495,968,30.32261496,210.4282453,271.0734752,0.24075086
12,2008,357.3348678,828.4126656,786,57.91399819,299.4208697,415.248866,0.357334868
13,2009,858.4327034,1280.624987,1354,68.21199166,790.2207117,926.644695,0.858432703
14,2010,466.5767108,770.9936848,1208,43.47758819,423.0991226,510.0542989,0.466576711
15,2011,492.1382556,907.0680188,729,65.8452092,426.2930464,557.9834648,0.492138256
16,2012,293.4809436,494.0939336,569,40.59770464,252.883239,334.0786483,0.293480944
17,2013,355.2989783,491.2137676,262,59.47959133,295.819387,414.7785697,0.355298978
18,2014,509.3891314,772.8540481,368,78.96264142,430.42649,588.3517729,0.509389131
19,2015,311.5346672,557.5422086,624,43.74551637,267.7891508,355.2801836,0.311534667
20,2016,278.3411455,526.7214351,780,36.96424007,241.3769054,315.3053855,0.278341145
21,2017,201.2554326,377.5348045,562,31.21310176,170.0423309,232.4685344,0.201255433
22,2018,102.1703526,262.3221396,364,26.9483603,75.22199234,129.1187129,0.102170353
23,2019,120.391225,262.3795462,384,26.24293806,94.14828695,146.6341631,0.120391225
24,2020,44.25062348,109.3688832,216,14.58528746,29.66533602,58.83591094,0.044250623
25,2021,17.34820112,17.71657588,24,7.087976332,10.26022478,24.43617745,0.017348201
