"","añoLance","hook","hooksd","hookn","hooke","hookl","hookr"
"1",1997,3.00926694328942,1.27315906130924,964,0.0803696800499832,2.92889726323944,3.0896366233394
"2",1998,2.9618686868608,1.22100370541061,1056,0.0736432783918499,2.88822540846895,3.03551196525264
"3",1999,3.17648836506528,1.22413746829305,1103,0.0722421272512686,3.10424623781401,3.24873049231655
"4",2000,2.86509589945933,1.06574304790282,1008,0.0657915825877758,2.79930431687155,2.9308874820471
"5",2001,2.78403169486946,1.14939927243888,1241,0.0639489058436051,2.72008278902585,2.84798060071307
"6",2002,2.57410836762449,1.03269891520063,972,0.0649215200020537,2.50918684762243,2.63902988762654
"7",2003,2.93212077982454,1.22281734440678,701,0.0905212770330706,2.84159950279147,3.02264205685761
"8",2004,2.69835748792077,1.06761371305176,1035,0.0650417263109727,2.6333157616098,2.76339921423175
"9",2005,2.77418122270961,1.2446374089234,916,0.0806015148636376,2.69357970784597,2.85478273757324
"10",2006,2.92620464852381,1.19259990301213,1176,0.0681615095189425,2.85804313900487,2.99436615804275
"11",2007,2.96200068870351,1.27910706477145,968,0.0805781533099748,2.88142253539354,3.04257884201349
"12",2008,2.9626802375,1.49607661393537,786,0.104590117831673,2.85809011966833,3.06727035533167
"13",2009,2.35574839981167,1.33420487118291,1354,0.0710659033267871,2.28468249648488,2.42681430313846
"14",2010,2.68899006623096,1.15832052770859,1208,0.0653195789841288,2.62367048724683,2.75430964521509
"15",2011,2.97512574302606,1.30991368362677,729,0.095088283065358,2.88003745996071,3.07021402609142
"16",2012,3.14619214996661,1.34741941287373,569,0.110712015713294,3.03548013425331,3.2569041656799
"17",2013,2.94675572518702,1.47282792155294,262,0.178340284119702,2.76841544106732,3.12509600930672
"18",2014,3.13002717391848,1.51467404089321,368,0.154754527657896,2.97527264626058,3.28478170157637
"19",2015,3.40395299146474,1.5472432000779,624,0.121398795814462,3.28255419565028,3.52535178727921
"20",2016,3.4275427350359,1.45597750851134,780,0.102177543140127,3.32536519189577,3.52972027817602
"21",2017,3.27090747329537,1.37283447541173,562,0.113500587658763,3.15740688563661,3.38440806095414
"22",2018,3.6038919413956,1.5237611825061,364,0.156536026316774,3.44735591507883,3.76042796771238
"23",2019,4.08016493054688,1.76101760393012,384,0.176135207853653,3.90402972269322,4.25630013840053
"24",2020,4.46057098762037,2.15337788424709,216,0.287171584113532,4.17339940350684,4.7477425717339
"25",2021,5.075694444375,1.98469371913598,24,0.79402827084908,4.28166617352592,5.86972271522408
