"","añoLance","NOMBRE_BARCO","hook","hookn"
"1",1997,"BETANZOS",3.17216312055851,376
"2",1997,"BOSTON BEVERLEY",3.8333333335,2
"3",1997,"BOSTON BLEMHEIN",3.54999999966667,3
"4",1997,"COTE SAINT JACQUES",2.208333333,2
"5",1997,"FRIO SUR IX",3.074074074,9
"6",1997,"FRIO SUR VI",2.86904761908571,35
"7",1997,"FRIO SUR VII",2.7690217391087,92
"8",1997,"FRIO SUR VIII",3.0535714285,14
"9",1997,"UNZEN MARU",2.92316318639907,431
"10",1998,"BETANZOS",2.60032840723399,406
"11",1998,"BOSTON BEVERLEY",4.1416666667,10
"12",1998,"BOSTON BLEMHEIN",3.76470588235294,17
"13",1998,"COTE SAINT JACQUES",3.54561403510526,19
"14",1998,"FRIO SUR IX",2.94655555554,150
"15",1998,"FRIO SUR VI",2.33333333325,4
"16",1998,"FRIO SUR VII",2.65224358971154,104
"17",1998,"FRIO SUR VIII",2.93247126436207,58
"18",1998,"GUALAS",3,1
"19",1998,"JIN YANG 1",1.7083333335,2
"20",1998,"UNION SUR",2.02777777788889,9
"21",1998,"UNZEN MARU",3.54100241543116,276
"22",1999,"BETANZOS",2.68408845740777,309
"23",1999,"BOSTON BEVERLEY",3.96969696968182,22
"24",1999,"BOSTON BLEMHEIN",3.8166666666,15
"25",1999,"COTE SAINT JACQUES",3.67875000005,40
"26",1999,"FRIO SUR IX",2.94879518072289,83
"27",1999,"FRIO SUR VII",2.94776422759756,82
"28",1999,"FRIO SUR VIII",3.29393939390909,66
"29",1999,"FRIO SUR X",3.56944444441667,12
"30",1999,"GUALAS",3,1
"31",1999,"UNZEN MARU",3.45211416490486,473
"32",2000,"BETANZOS",2.78993506492532,308
"33",2000,"BOSTON BEVERLEY",4.34047619057143,7
"34",2000,"BOSTON BLEMHEIN",3.76851851855556,9
"35",2000,"COTE SAINT JACQUES",4.41025641038462,13
"36",2000,"FRIO SUR IX",2.736231884,46
"37",2000,"FRIO SUR VII",2.86538461532692,104
"38",2000,"FRIO SUR VIII",3.07235772352439,82
"39",2000,"FRIO SUR X",2.7760416665625,16
"40",2000,"GUALAS",0.333333333,1
"41",2000,"JIN YANG 1",2.111111111,3
"42",2000,"UNZEN MARU",2.81670644392363,419
"43",2001,"BETANZOS",2.76082887699465,374
"44",2001,"BOSTON BEVERLEY",3.28333333325,4
"45",2001,"COTE SAINT JACQUES",3.638888889,6
"46",2001,"FRIO SUR IX",3.16833333333077,130
"47",2001,"FRIO SUR VII",3.31602209944751,181
"48",2001,"FRIO SUR VIII",2.81933333332,25
"49",2001,"FRIO SUR X",2.56349206342857,21
"50",2001,"UNZEN MARU",2.502133333344,500
"51",2002,"BETANZOS",2.60885416667045,352
"52",2002,"BOSTON BEVERLEY",1.5,3
"53",2002,"BOSTON BLEMHEIN",1.5,1
"54",2002,"COTE SAINT JACQUES",2.1458333335,4
"55",2002,"FRIO SUR IX",2.96794871793077,130
"56",2002,"FRIO SUR VII",2.40909090909091,55
"57",2002,"FRIO SUR VIII",2.79999999996667,30
"58",2002,"UNION SUR",3.37500000025,4
"59",2002,"UNZEN MARU",2.42569974554198,393
"60",2003,"BETANZOS",2.94105392155147,272
"61",2003,"BOSTON BEVERLEY",0.666666667,1
"62",2003,"FRIO SUR IX",2.813888889,6
"63",2003,"FRIO SUR VII",1.9965517242069,29
"64",2003,"FRIO SUR VIII",2.87366666664,50
"65",2003,"SAINT PIERRE",3.34193548390323,31
"66",2003,"UNZEN MARU",2.98947649570192,312
"67",2004,"BETANZOS",2.22151898734177,79
"68",2004,"BOSTON BEVERLEY",0.416666667,1
"69",2004,"BOSTON BLEMHEIN",0.75,1
"70",2004,"CABO DE HORNOS",3.18759259261111,180
"71",2004,"FRIO SUR IX",3.0415094339434,53
"72",2004,"FRIO SUR VII",2.33051948049351,77
"73",2004,"FRIO SUR VIII",3.33282828290909,33
"74",2004,"FRIO SUR X",2.71875,8
"75",2004,"OCEAN DAWN",2.79544270830469,128
"76",2004,"SAINT PIERRE",2.47638888884524,84
"77",2004,"UNZEN MARU",2.56815856778005,391
"78",2005,"BOSTON BLEMHEIN",4.48888888886667,15
"79",2005,"CABO DE HORNOS",2.70304391219162,334
"80",2005,"COTE SAINT JACQUES",1.9166666665,4
"81",2005,"FRIO SUR IX",2.85666666664,25
"82",2005,"FRIO SUR VII",2.5,1
"83",2005,"FRIO SUR VIII",3.4583333335,2
"84",2005,"FRIO SUR X",2.096491228,19
"85",2005,"OCEAN DAWN",2.89772727272727,22
"86",2005,"SAINT PIERRE",2.75229885058276,290
"87",2005,"UNION SUR",7.5,1
"88",2005,"UNZEN MARU",2.82389162560099,203
"89",2006,"BETANZOS",2.9039583333375,80
"90",2006,"CABO DE HORNOS",3.11305774278346,254
"91",2006,"COTE SAINT JACQUES",0.833333333333333,3
"92",2006,"DIEGO RAMIREZ",3.05526315789474,38
"93",2006,"FRIO SUR IX",3.0666666666,10
"94",2006,"FRIO SUR VIII",3.56265206813869,137
"95",2006,"FRIO SUR X",2.65902335455414,157
"96",2006,"OCEAN DAWN",2.62544853634561,353
"97",2006,"SAINT PIERRE",0.583333333,1
"98",2006,"UNION SUR",2.84037558685915,71
"99",2006,"UNZEN MARU",3.25462962963889,72
"100",2007,"CABO DE HORNOS",3.00222222222222,180
"101",2007,"DIEGO RAMIREZ",3.0648148148254,126
"102",2007,"FRIO SUR IX",3.4277777778,75
"103",2007,"FRIO SUR VIII",3.66818181819091,110
"104",2007,"FRIO SUR X",2.99656862741176,34
"105",2007,"OCEAN DAWN",2.47331081080068,296
"106",2007,"UNION SUR",2.29301075262903,62
"107",2007,"UNZEN MARU",3.57549019610588,85
"108",2008,"CABO DE HORNOS",3.3196817420603,199
"109",2008,"DIEGO RAMIREZ",3.06767676767879,165
"110",2008,"FRIO SUR IX",2.953125,16
"111",2008,"FRIO SUR X",3.00378787872727,22
"112",2008,"OCEAN DAWN",2.1955387205404,198
"113",2008,"UNION SUR",4.30448717967308,52
"114",2008,"UNZEN MARU",2.91044776116418,134
"115",2009,"CABO DE HORNOS",1.92008244996113,283
"116",2009,"DIEGO RAMIREZ",2.75115511551485,202
"117",2009,"FRIO SUR IX",3.60882352938235,68
"118",2009,"FRIO SUR VIII",5.63461538484615,13
"119",2009,"FRIO SUR X",2.78787878790909,11
"120",2009,"OCEAN DAWN",2.25476190477473,546
"121",2009,"UNION SUR",2.49537037033333,18
"122",2009,"UNZEN MARU",2.18419405319718,213
"123",2010,"CABO DE HORNOS",2.73408071747534,223
"124",2010,"DIEGO RAMIREZ",2.35037243948603,179
"125",2010,"FRIO SUR IX",4.411827957,31
"126",2010,"FRIO SUR X",3.29629629627778,18
"127",2010,"OCEAN DAWN",2.68947368422149,456
"128",2010,"UNION SUR",2.70138888908333,12
"129",2010,"UNZEN MARU",2.64002306805536,289
"130",2011,"CABO DE HORNOS",2.8609496124186,172
"131",2011,"DIEGO RAMIREZ",2.6758620689569,116
"132",2011,"FRIO SUR IX",3.89430894312195,41
"133",2011,"FRIO SUR VIII",4.09068627447059,34
"134",2011,"FRIO SUR X",3.73737373739394,33
