"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"1",1997,"BETANZOS",270,19.0513091663639,7,14.1131480000614,255.886851999939,284.113148000061
"2",1997,"BOSTON BEVERLEY",78,NA,1,NA,NA,NA
"3",1997,"COTE SAINT JACQUES",15120,891.652496162627,24,356.728740006543,14763.2712599935,15476.7287400065
"4",1997,"FRIO SUR VI",36030,4708.96625458425,14,2466.662045548,33563.337954452,38496.662045548
"5",1997,"UNZEN MARU",83480,828.823224559783,208,112.636289542053,83367.3637104579,83592.6362895421
"6",1998,"BETANZOS",37121,1060.09298956771,50,293.837385681635,36827.1626143184,37414.8373856816
"7",1998,"BOSTON BEVERLEY",26622,486.131597732125,42,147.020297160779,26474.9797028392,26769.0202971608
"8",1998,"BOSTON BLEMHEIN",99575,1304.51552921041,130,224.246497358359,99350.7535026416,99799.2464973584
"9",1998,"COTE SAINT JACQUES",91902,1481.76357797585,149,237.921600315529,91664.0783996845,92139.9216003155
"10",1999,"BETANZOS",92740,1144.35653987113,162,176.21867833633,92563.7813216637,92916.2186783363
"11",1999,"BOSTON BEVERLEY",46634,451.837805227556,210,61.1112277743039,46572.8887722257,46695.1112277743
"12",1999,"BOSTON BLEMHEIN",82818,927.886624288221,219,122.89124609292,82695.1087539071,82940.8912460929
"13",1999,"COTE SAINT JACQUES",67867,546.347302105963,286,63.3189751986797,67803.6810248013,67930.3189751987
"14",1999,"FRIO SUR IX",1260,75.3847275172972,15,38.14923476574,1221.85076523426,1298.14923476574
"15",1999,"FRIO SUR VII",14370,3214.84991873649,6,2572.36841876532,11797.6315812347,16942.3684187653
"16",1999,"UNZEN MARU",120430,2404.1558990836,123,424.872049490139,120005.12795051,120854.87204949
"17",2000,"BETANZOS",133986,1251.29295516487,165,190.92601953391,133795.073980466,134176.926019534
"18",2000,"BOSTON BEVERLEY",11501,232.004129865865,88,48.4732870267738,11452.5267129732,11549.4732870268
"19",2000,"BOSTON BLEMHEIN",10416,252.221119174716,72,58.2590356076659,10357.7409643923,10474.2590356077
"20",2000,"COTE SAINT JACQUES",7688,347.702359896642,57,90.2647744900599,7597.73522550994,7778.26477449006
"21",2000,"FRIO SUR IX",120,17.3205080756888,3,19.5996398454005,100.400360154599,139.599639845401
"22",2000,"FRIO SUR VII",18800,888.644682637935,46,256.80136138419,18543.1986386158,19056.8013613842
"23",2000,"FRIO SUR VIII",26430,1092.72741193913,78,242.500493925948,26187.4995060741,26672.5004939259
"24",2000,"GUALAS",44,NA,1,NA,NA,NA
"25",2000,"JIN YANG 1",119,15.7770930993852,4,15.4612671277652,103.538732872235,134.461267127765
