"","añoLance","f1","f2","cpue","cpuesd","cpuen","cpuee","cpuel","cpuer"
"1",1997,531.409448818898,2.82867454068504,187.865178964775,1010.92171323383,254,124.322220219771,63.5429587450036,312.187399184546
"2",1998,687.924528301887,3.39366576818598,202.708391247852,627.132551020249,371,63.8146628998458,138.893728348006,266.523054147698
"3",1999,417.354554358472,3.56627489389422,117.028150318143,621.22132772186,1021,38.1049659121933,78.9231844059496,155.133116230336
"4",2000,573.685584562997,3.20372682557548,179.068196446476,601.894399465664,881,39.7448112751859,139.32338517129,218.813007721662
"5",2001,618.611510791367,2.93231414869496,210.963586922186,784.893649274298,1390,41.2621169855153,169.701469936671,252.225703907702
"6",2002,1165.69719042664,2.46578217134964,472.74946017985,1016.10830085846,961,64.2430862604766,408.506373919374,536.992546440327
"7",2003,1188.02521929825,2.93929093566996,404.187691963694,884.389344849105,912,57.397658156495,346.790033807199,461.585350120189
"8",2004,980.088597842835,2.66612737544684,367.607567016026,1003.68089170396,1298,54.6017297138262,313.005837302199,422.209296729852
"9",2005,811.77023255814,2.84079069767721,285.755030534945,846.849192759115,1075,50.6232399127633,235.131790622182,336.378270447709
"10",2006,877.360316494218,3.00920064921424,291.559260670541,690.686968434967,1643,33.3972395228886,258.162021147653,324.95650019343
"11",2007,1326.98877887789,2.94575357535248,450.475148356259,1070.93887985494,1515,53.9270247662006,396.548123590059,504.40217312246
"12",2008,1390.33828125,2.82648437499297,491.896680395928,958.794317991907,1280,52.5253019685411,439.371378427387,544.421982364469
"13",2009,1663.20465994962,2.45857472712028,676.491400323524,1419.60287669515,1588,69.8215864988737,606.66981382465,746.312986822398
"14",2010,1420.66334355828,2.87956288343252,493.36076379232,1105.77310999006,1304,60.0171432928165,433.343620499504,553.377907085137
"15",2011,1884.4338179036,3.08967100230528,609.914070623563,1258.765323229,1307,68.2425218675136,541.671548756049,678.156592491076
"16",2012,1469.45375722543,3.11636159280347,471.528644371309,1040.85825157805,1038,63.3200142264681,408.208630144841,534.848658597777
"17",2013,2103.859437751,2.82771084335944,744.015054683431,1518.14408571105,498,133.3356896823,610.679365001132,877.350744365731
"18",2014,2468.61968408262,2.949189955452,837.050078622106,1397.06594277468,823,95.4476146009686,741.602464021137,932.497693223074
"19",2015,2194.7129135539,3.13253290644717,700.619268527677,1451.59521256559,937,92.9445272508106,607.674741276866,793.563795778487
"20",2016,2364.85846867749,3.27358855374884,722.405528321301,1282.00436047054,1724,60.5158256005481,661.889702720753,782.921353921849
"21",2017,1517.6063470628,3.19478955658677,475.025450090731,1017.89818920144,1481,51.8411830107205,423.18426708001,526.866633101452
"22",2018,1872.71642723298,3.4500728711118,542.804890561481,1328.60270076735,1601,65.080001757859,477.724888803622,607.88489231934
"23",2019,1372.36427145709,3.8311709913503,358.210133287054,858.860207715705,1002,53.1785770043538,305.0315562827,411.388710291408
"24",2020,1343.52127659574,4.25658983450355,315.633248405867,832.124604046524,564,68.6747207814223,246.958527624444,384.307969187289
"25",2021,1002.63636363636,4.95475206607025,202.358533841146,480.745255724885,242,60.5696989497347,141.788834891411,262.928232790881
