"","añoLance","NOMBRE_BARCO","hook","hookn"
"1",1997,"BETANZOS",3.21428571428571,7
"2",1997,"BOSTON BEVERLEY",4.833333333,1
"3",1997,"COTE SAINT JACQUES",4.97916666670833,24
"4",1997,"FRIO SUR VI",2.54761904764286,14
"5",1997,"UNZEN MARU",2.57684294871635,208
"6",1998,"BETANZOS",2.8683333333,50
"7",1998,"BOSTON BEVERLEY",3.94007936504762,42
"8",1998,"BOSTON BLEMHEIN",3.38435897438462,130
"9",1998,"COTE SAINT JACQUES",3.42404921697987,149
"10",1999,"BETANZOS",2.81286008232099,162
"11",1999,"BOSTON BEVERLEY",4.01031746028571,210
"12",1999,"BOSTON BLEMHEIN",3.69170471843379,219
"13",1999,"COTE SAINT JACQUES",3.79603729604196,286
"14",1999,"FRIO SUR IX",2.8,15
"15",1999,"FRIO SUR VII",2.63888888883333,6
"16",1999,"UNZEN MARU",3.18157181570732,123
"17",2000,"BETANZOS",3.15585858584848,165
"18",2000,"BOSTON BEVERLEY",4.04185606059091,88
"19",2000,"BOSTON BLEMHEIN",3.71388888888889,72
"20",2000,"COTE SAINT JACQUES",4.08625730994737,57
"21",2000,"FRIO SUR IX",1.80555555533333,3
"22",2000,"FRIO SUR VII",2.88043478263043,46
"23",2000,"FRIO SUR VIII",2.8215811965641,78
"24",2000,"GUALAS",0.7,1
"25",2000,"JIN YANG 1",1.70833333325,4
"26",2000,"UNZEN MARU",2.94341507720981,367
"27",2001,"BETANZOS",2.830666666696,250
"28",2001,"BOSTON BEVERLEY",3.58384615384615,65
"29",2001,"BOSTON BLEMHEIN",3.80072463769565,23
"30",2001,"COTE SAINT JACQUES",3.72790262179775,89
"31",2001,"FRIO SUR IX",2.87421227197015,201
"32",2001,"FRIO SUR VII",3.08943661970423,213
"33",2001,"FRIO SUR VIII",3.33801169591228,114
"34",2001,"FRIO SUR X",2.92291666666667,24
"35",2001,"UNZEN MARU",2.50523114357178,411
"36",2002,"BETANZOS",2.64599236641985,262
"37",2002,"BOSTON BEVERLEY",3.75,1
"38",2002,"BOSTON BLEMHEIN",1.5,1
"39",2002,"COTE SAINT JACQUES",2.36111111133333,3
"40",2002,"FRIO SUR IX",2.85483870967204,186
"41",2002,"FRIO SUR VII",1.6875,24
"42",2002,"FRIO SUR VIII",1.62851562500781,128
"43",2002,"UNION SUR",0.833333333,1
"44",2002,"UNZEN MARU",2.48802816900845,355
"45",2003,"BETANZOS",3.30864197532099,162
"46",2003,"BOSTON BEVERLEY",0.666666667,1
"47",2003,"BOSTON BLEMHEIN",3.739583333375,8
"48",2003,"FRIO SUR IX",3.2516666667,10
"49",2003,"FRIO SUR VII",2.15584192446392,97
"50",2003,"FRIO SUR VIII",3.07824858752542,59
"51",2003,"SAINT PIERRE",2.83981481477778,18
"52",2003,"UNZEN MARU",2.94377618191203,557
"53",2004,"BETANZOS",2.14215686282353,17
"54",2004,"BOSTON BEVERLEY",3.57306763286232,138
"55",2004,"BOSTON BLEMHEIN",2.79642857142857,14
"56",2004,"CABO DE HORNOS",2.70599721061925,239
"57",2004,"COTE SAINT JACQUES",2.8333333332,5
"58",2004,"FRIO SUR IX",2.58791208789011,91
"59",2004,"FRIO SUR VII",1.94861111107576,132
"60",2004,"FRIO SUR VIII",2.54365079364286,42
"61",2004,"OCEAN DAWN",2.71360544216837,196
"62",2004,"SAINT PIERRE",2.65204081630612,147
"63",2004,"UNZEN MARU",2.56251504212274,277
"64",2005,"BOSTON BEVERLEY",3.16666666677778,9
"65",2005,"BOSTON BLEMHEIN",3.00884773662963,81
